"Deploy Start Time","End Time",searchTime,searchEndTime,"Duration (Min)",Program,programId,Pipeline,pipelineId,Execution,pipelineName,Status
"2026-05-14T21:07:16.000 PDT","2026-05-14T21:50:20.713 PDT","1778558836.000287000","1779079820.713978000","43.08","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8161494,"Production Pipeline",CANCELLED
"2026-05-14T07:05:38.623 PDT","2026-05-14T08:36:17.047 PDT","1778508338.623862500","1779032177.047354000","90.64","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8157854,"Production Pipeline",CANCELLED
"2026-05-14T06:17:55.523 PDT","2026-05-14T06:30:22.644 PDT","1778505475.523931300","1779024622.644561500","12.45","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8157337,"Production Pipeline",FAILED
"2026-05-14T03:30:35.238 PDT","2026-05-14T04:03:52.872 PDT","1778495435.238943600","1779015832.872089400","33.29","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8156061,"Production Pipeline",CANCELLED
"2026-05-14T00:35:21.019 PDT","2026-05-14T01:22:18.064 PDT","1778484921.019367000","1779006138.064168200","46.95","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8154342,"Production Pipeline",CANCELLED
"2026-05-13T05:50:50.046 PDT","2026-05-13T08:30:15.247 PDT","1778417450.046358600","1778945415.247548600","159.42","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8148411,"Production Pipeline",FINISHED
"2026-05-13T05:07:36.841 PDT","2026-05-13T05:13:48.503 PDT","1778414856.841817000","1778933628.503129500","6.19","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8147842,"Production Pipeline",FAILED
"2026-05-12T06:22:54.355 PDT","2026-05-12T06:50:16.851 PDT","1778332974.355061300","1778853016.851865000","27.37","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8139173,"Production Pipeline",CANCELLED
"2026-05-12T02:12:04.211 PDT","2026-05-12T02:52:23.219 PDT","1778317924.211970300","1778838743.219091000","40.32","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8137015,"Production Pipeline",CANCELLED
"2026-05-11T06:15:14.173 PDT","2026-05-11T06:46:10.134 PDT","1778246114.173913500","1778766370.134214200","30.93","IDFC First Bank Limited [19905]",19905,"Production Pipeline [2357452]",2357452,8129947,"Production Pipeline",CANCELLED
